Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AROA11,Imóveis Industriais e Logísticos,"1,01","6.164,00","1,06","0,01","0,73 %","2,01 %","3,99 %","7,94 %","0,67 %","0,67 %","0,66 %","5,96 %","-0,97 %","-0,25 %","12,75 %","159.917.971,91",N/A,N/A,N/A,N/A,N/A,N/A,6,"32,45",4.791,N/A,N/A,N/A
ARRI11,Papéis,"6,57","224.662,71","0,78","0,09","1,34 %","3,94 %","7,72 %","14,95 %","1,31 %","1,29 %","1,25 %","11,44 %","-1,61 %","-0,29 %","-3,31 %","175.613.929,97","8,47","0,78","1,06 %","-4,40 %","-3,39 %","-89,38 %",1,"16,57",23.644,N/A,N/A,N/A
ARXD11,Papéis,"7,40","82.554,43","0,81","0,10","1,28 %","3,79 %","7,78 %","15,92 %","1,26 %","1,30 %","1,33 %","12,11 %","-1,46 %","-0,20 %","11,73 %","82.249.920,75",N/A,N/A,N/A,N/A,N/A,N/A,14,"30,88",1.782,N/A,"1,02 % a.a",N/A
ASMT11,Lajes Corporativas,"4,10","12.484,00","0,41","0,08","1,12 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,19 %","-4,46 %","-3,39 %","-3,83 %","169.085.584,25",N/A,N/A,N/A,N/A,N/A,N/A,3,"52,59",1,N/A,"1,20 % a.a","20,00 % a.a"
ASRF11,Indefinido,"10.888,00","76.216,00","1,12","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"38.822.624,03",N/A,N/A,N/A,N/A,N/A,N/A,2,"15,71",68,N/A,N/A,N/A
ATSA11,Shoppings,"49,98","304,80","0,65","0,15","0,00 %","1,37 %","2,10 %","5,08 %","0,46 %","0,35 %","0,42 %","4,12 %","0,00 %","0,00 %",N/A,"134.327.235,30","76,71","0,65","0,20 %","-5,81 %","-5,62 %","-14,29 %",1,"33,45",302,N/A,"0,50 % a.a",N/A
AURB11,Imóveis Comerciais - Outros,"72,40","3.330.666,00","0,93","0,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"84.785.597,51",N/A,N/A,N/A,N/A,N/A,N/A,2,"39,11",20,N/A,"1,05 % a.a",N/A
AZIN11,N/A,"99,90","937.234,14",N/A,"1,90","1,88 %","5,34 %","10,24 %","13,39 %","1,78 %","1,71 %","1,12 %","13,39 %","1,25 %","3,15 %","44,62 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,91",0,N/A,"1,25 % a.a","20,00 % a.a"
AZPE11,Papéis,N/A,N/A,N/A,"0,15","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.015.499,50",N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,N/A
AZPL11,Serviços Financeiros Diversos,"7,63","499.905,14","0,91","0,07","0,92 %","3,23 %","7,10 %","15,27 %","1,08 %","1,18 %","1,27 %","11,67 %","2,41 %","3,35 %","36,35 %","352.632.003,89",N/A,N/A,N/A,N/A,N/A,N/A,1,"28,28",6.366,N/A,"1,10 % a.a",N/A
BARI11,Papéis,"79,20","896.491,00","1,01","4,38","0,00 %","0,00 %","4,06 %","12,32 %","0,00 %","0,68 %","1,03 %","10,01 %","0,00 %","0,00 %",N/A,"363.696.267,15","78,48","1,01","1,21 %","-17,70 %","-16,71 %","-12,94 %",2,"20,27",31.765,"1,11 % a.a","0,20 % a.a","20,00 % a.a"
BBFI11B,Lajes Corporativas,"1.257,10","182.918,19","0,41","634,23","47,51 %","0,00 %","47,51 %","69,77 %","0,00 %","7,92 %","5,81 %","69,77 %","4,22 %","53,73 %","119,39 %","111.645.834,19","864,77","1,45","73,34 %","-60,09 %","-30,81 %","-43,61 %",1,"43,40",6.989,N/A,"3,50 % a.a",N/A
BBFO11,Fundo de Fundos,"64,80","218.338,62","0,89","0,73","1,16 %","3,63 %","7,20 %","14,10 %","1,21 %","1,20 %","1,18 %","10,96 %","1,25 %","2,43 %","23,59 %","291.866.658,78","72,90","0,89","1,04 %","-10,80 %","-9,87 %","-5,59 %",14,"15,60",6.931,N/A,"0,50 % a.a",N/A
BBGO11,Indefinido,"63,50","316.543,48","0,67","0,90","1,39 %","4,17 %","8,38 %","16,65 %","1,39 %","1,40 %","1,39 %","15,21 %","-1,74 %","-0,38 %","8,93 %","377.603.836,94","94,28","0,67","0,95 %","-3,73 %","-2,81 %","5,06 %",0,"19,25",11.724,N/A,"0,85 % a.a","10,00 % a.a"
BBIG11,Serviços Financeiros Diversos,"6,98","752.313,62","0,69","0,08","1,15 %","3,41 %","6,95 %","14,24 %","1,14 %","1,16 %","1,19 %","10,84 %","0,43 %","1,59 %","20,92 %","1.010.130.407,71",N/A,N/A,N/A,N/A,N/A,N/A,3,"22,59",32.815,N/A,"0,80 % a.a",N/A
BBIM11,Papéis,N/A,N/A,N/A,"0,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"667,50",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,N/A,20,N/A,N/A,N/A
BBRC11,Agências de Bancos,"99,14","76.874,48","0,94","1,05","1,05 %","3,15 %","6,32 %","13,17 %","1,05 %","1,05 %","1,10 %","9,88 %","2,68 %","3,76 %","10,57 %","167.369.988,67","105,26","0,94","1,00 %","-2,23 %","-1,25 %","9,98 %",21,"19,52",8.879,N/A,"0,60 % a.a",N/A
BCIA11,Fundo de Fundos,"85,90","360.515,95","0,88","0,84","1,00 %","2,99 %","6,04 %","12,57 %","1,00 %","1,01 %","1,05 %","9,43 %","0,24 %","1,24 %","20,44 %","364.940.398,26","98,13","0,88","0,86 %","-2,12 %","-1,29 %","3,17 %",14,"17,46",21.523,N/A,"0,50 % a.a","20,00 % a.a"
BCRI11,Papéis,"63,35","396.495,19","0,76","0,83","1,27 %","4,01 %","7,77 %","16,19 %","1,34 %","1,30 %","1,35 %","12,08 %","1,59 %","2,88 %","31,12 %","521.476.882,60","83,33","0,76","1,09 %","-17,42 %","-16,52 %","-10,28 %",14,"16,87",42.928,N/A,"1,00 % a.a",N/A
BDIF11,Indefinido,"75,69","2.121.226,05",N/A,"0,60","0,79 %","3,10 %","7,16 %","15,34 %","1,03 %","1,19 %","1,28 %","11,53 %","5,46 %","6,29 %","26,94 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,51",0,N/A,"0,75 % a.a","20,00 % a.a"
BDIV11,Indefinido,"39,90","286.465,86",N/A,"1,60","4,13 %","4,13 %","8,64 %","224,27 %","1,38 %","1,44 %","18,69 %","13,59 %","9,19 %","13,70 %","15,47 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23,81",0,N/A,"1,10 % a.a",N/A
BETW11,Indefinido,N/A,N/A,N/A,"0,49","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"263.656.628,84",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A
BICE11,Fundo de Fundos,"898,00","118.313,00","0,83","1,00","0,11 %","0,51 %","1,32 %","5,74 %","0,51 %","0,22 %","0,48 %","3,75 %","0,00 %","0,00 %",N/A,"143.973.753,10","1.079,15","0,83","0,43 %","8,26 %","8,73 %","16,59 %",14,"46,02",117,N/A,N/A,N/A
BICR11,Papéis,"35,92","72,00","0,86","0,36","1,02 %","0,00 %","0,00 %","1,70 %","0,00 %","0,00 %","0,14 %","4,52 %","-10,54 %","-9,63 %","-26,97 %","20.805.910,51","42,51","0,84","0,85 %","-57,20 %","-56,84 %","-52,66 %",14,"31,30",641,N/A,"0,50 % a.a",N/A
BIDB11,Indefinido,"78,99","342.076,29",N/A,"1,10","1,43 %","2,81 %","7,37 %","16,45 %","0,94 %","1,23 %","1,37 %","12,46 %","0,71 %","2,15 %","21,83 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,50",0,N/A,"0,80 % a.a",N/A
BIME11,Indefinido,"6,96","47.279,00","0,82","0,08","1,13 %","3,71 %","7,74 %","16,16 %","1,24 %","1,29 %","1,35 %","12,06 %","2,60 %","3,76 %","27,88 %","49.514.016,67","8,47","0,82","1,06 %","-6,20 %","-5,20 %","1,64 %",3,"17,75",8.369,N/A,"1,50 % a.a","20,00 % a.a"
BINC11,Papéis,"97,26","908.500,43",N/A,"1,18","1,32 %","0,00 %","3,69 %","9,40 %","0,00 %","0,62 %","1,34 %","7,40 %","1,14 %","2,48 %","13,81 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,44",0,N/A,"0,90 % a.a",N/A
BIPD11,Indefinido,"972,83","760.000,00","0,98","27,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"109.871.596,98",N/A,N/A,N/A,N/A,N/A,N/A,1,"7,97",112,N/A,N/A,N/A
BLCA11,Indefinido,"92,31","269.239,10","0,72","0,50","0,55 %","2,04 %","3,72 %","7,08 %","0,68 %","0,62 %","0,59 %","5,48 %","-0,27 %","0,28 %","6,60 %","204.218.442,34","127,64","0,72","0,67 %","-11,13 %","-10,53 %","26,49 %",1,"71,13",459,N/A,"1,15 % a.a","20,00 % a.a"
BLMC11,Papéis,"85,75","150.671,33","1,34","5,34","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,74 %","0,00 %","0,00 %",N/A,"118.155.565,38","94,69","0,91","1,13 %","-1,48 %","-0,36 %","2,88 %",14,"3,23",8.102,N/A,N/A,N/A
BLMG11,Imóveis Industriais e Logísticos,"34,04","561.229,24","0,48","0,36","1,06 %","3,07 %","6,23 %","17,21 %","1,02 %","1,04 %","1,43 %","12,69 %","2,56 %","3,65 %","28,12 %","331.602.528,57","70,94","0,48","0,51 %","-26,06 %","-25,68 %","-22,48 %",2,"31,50",12.785,N/A,"0,95 % a.a","20,00 % a.a"
BLMO11,Lajes Corporativas,"89,00","5.487,06","0,85","0,53","0,63 %","1,95 %","4,01 %","7,79 %","0,65 %","0,67 %","0,65 %","5,83 %","0,62 %","1,26 %","29,21 %","104.213.475,45","104,76","0,85","0,51 %","-99,65 %","-99,64 %","-99,59 %",1,"45,25",313,N/A,"1,00 % a.a","15,00 % a.a"
BLMR11,Fundo de Fundos,"6,78","1.157.702,33","0,11","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","7,61","0,89","0,70 %","-1,68 %","-0,99 %","1,82 %",14,"3,49",8.102,N/A,"1,00 % a.a","20,00 % a.a"
BLOG11,Misto,"10,05","699,73","0,89","0,02","0,20 %","1,21 %","2,09 %","4,78 %","0,40 %","0,35 %","0,40 %","2,76 %","-6,82 %","-6,63 %","-8,76 %","346.922.775,80",N/A,N/A,N/A,N/A,N/A,N/A,6,"77,80",102,"0,85 % a.a","0,20 % a.a",N/A
BLUR11,Papéis,"76,03","228,00","1,00","74,29","0,00 %","0,00 %","2,24 %","6,80 %","0,00 %","0,37 %","0,57 %","4,01 %","0,00 %","0,00 %",N/A,"6.851.720,42",N/A,N/A,N/A,N/A,N/A,N/A,14,"91,58",1,N/A,N/A,N/A
BMLC11,Lajes Corporativas,"95,00","7.283,11","0,90","0,70","0,00 %","1,44 %","3,66 %","8,28 %","0,48 %","0,61 %","0,69 %","5,90 %","0,00 %","0,00 %",N/A,"105.626.456,63","105,80","0,90","0,65 %","-6,76 %","-6,15 %","2,47 %",1,"990,26",1.267,"0,20 % a.a","0,20 % a.a",N/A
BNFS11,Agências de Bancos,"74,11","57.283,29","0,95","1,00","1,38 %","4,11 %","8,41 %","16,71 %","1,37 %","1,40 %","1,39 %","12,41 %","0,14 %","1,52 %","-5,07 %","54.834.152,37","78,33","0,95","1,28 %","-14,30 %","-13,21 %","-7,58 %",18,"20,24",5.897,N/A,"0,30 % a.a",N/A
BODB11,Indefinido,"7,41","1.188.432,52",N/A,"0,09","1,23 %","3,02 %","7,10 %","13,61 %","1,01 %","1,18 %","1,13 %","13,61 %","0,55 %","1,79 %","19,70 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,86",0,N/A,"0,90 % a.a","20,00 % a.a"
BPFF11,Fundo de Fundos,"54,53","512.062,00","0,78","0,70","0,00 %","2,49 %","5,90 %","12,76 %","0,83 %","0,98 %","1,06 %","9,50 %","0,00 %","0,00 %",N/A,"314.555.485,53","70,02","0,78","1,00 %","-4,72 %","-3,77 %","-0,94 %",14,"17,91",20.096,N/A,"0,40 % a.a","20,00 % a.a"
BPLC11,Misto,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"324.694.653,95",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,137,N/A,N/A,N/A
BPML11,Shoppings,"78,50","1.040.254,52","0,63","0,92","1,18 %","3,74 %","7,74 %","17,41 %","1,25 %","1,29 %","1,45 %","14,21 %","0,14 %","1,32 %","52,19 %","930.300.664,67","125,01","0,63","0,85 %","0,21 %","1,06 %","2,01 %",11,"18,11",5.960,N/A,"1,00 % a.a",N/A
BPRP11,Imóveis Industriais e Logísticos,"107,50","2.150,00","0,86","0,93","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,54 %","0,00 %","0,00 %",N/A,"169.496.975,27",N/A,N/A,N/A,N/A,N/A,N/A,15,"1,53",171,N/A,N/A,N/A
BRCO11,Imóveis Industriais e Logísticos,"112,80","3.606.804,19","0,96","0,87","0,78 %","2,55 %","5,02 %","10,48 %","0,85 %","0,84 %","0,87 %","7,80 %","1,81 %","2,60 %","29,20 %","1.872.487.604,87","117,73","0,96","0,74 %","-3,09 %","-2,37 %","6,24 %",12,"14,88",119.590,"1,00 % a.a",N/A,"20,00 % a.a"
BRCR11,Lajes Corporativas,"43,95","1.456.179,33","0,52","0,41","0,97 %","2,94 %","6,12 %","13,80 %","0,98 %","1,02 %","1,15 %","9,94 %","2,72 %","3,72 %","25,38 %","2.269.838.767,41","85,21","0,52","0,48 %","-14,84 %","-14,43 %","-15,67 %",6,"14,02",121.887,"1,50 % a.a","0,25 % a.a",N/A
BREV11,Lajes Corporativas,"105,00","532.138,00","1,65","0,58","0,55 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","10,03 %","0,32 %","0,87 %","22,08 %","118.155.565,38",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",1,"0,34",8.102,N/A,N/A,N/A
BRFT11,Misto,"84,42","94.588,95",N/A,"1,22","1,42 %","4,85 %","9,73 %","19,79 %","1,62 %","1,62 %","1,65 %","16,48 %","5,08 %","6,57 %","42,87 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"50,85",0,N/A,N/A,N/A
BRIM11,Fundo de Desenvolvimento,"487,93","15.624,19","2,07","120,84","23,52 %","40,70 %","66,45 %","115,28 %","13,57 %","11,08 %","9,61 %","93,17 %","9,60 %","35,37 %","91,18 %","29.268.130,37",N/A,N/A,N/A,N/A,N/A,N/A,2,"80,65",691,N/A,"1,70 % a.a",N/A
BRIP11,Fundo de Desenvolvimento,"713,98","7.338,58","1,21","46,41","6,87 %","31,88 %","41,98 %","80,38 %","10,63 %","7,00 %","6,70 %","59,02 %","1,03 %","7,97 %","107,04 %","127.593.302,98",N/A,N/A,N/A,N/A,N/A,N/A,10,"215,87",441,N/A,"2,00 % a.a",N/A
BRIX11,Indefinido,"1.673,35","195.781,00","1,59","180,14","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.205.402,99",N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,103,N/A,N/A,N/A
BRLA11,Imóveis Industriais e Logísticos,"148,00","21.194,28","0,84","1,15","0,78 %","2,38 %","3,11 %","4,64 %","0,79 %","0,52 %","0,39 %","4,64 %","4,99 %","5,81 %","5,06 %","815.145.198,38","166,46","0,89","0,69 %","5,36 %","6,09 %","-2,26 %",8,"76,52",435,N/A,"-0,75 % a.a",N/A
BROF11,Lajes Corporativas,"53,11","410.621,95","0,49","0,40","0,75 %","2,69 %","6,37 %","13,62 %","0,90 %","1,06 %","1,14 %","10,17 %","-4,23 %","-3,52 %","53,14 %","1.254.975.787,47",N/A,N/A,N/A,N/A,N/A,N/A,2,"23,41",10.057,"0,45 % a.a","0,15 % a.a",N/A
BRZP11,N/A,"145,00","696.912,43",N/A,"0,92","0,66 %","1,96 %","3,64 %","7,95 %","0,65 %","0,61 %","0,66 %","5,84 %","0,59 %","1,25 %","68,83 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23,74",0,"1,50 % a.a","0,12 % a.a",N/A
BTAG11,Indefinido,"96,02","35.514,62",N/A,"1,30","1,36 %","4,12 %","8,22 %","722,37 %","1,37 %","1,37 %","60,20 %","698,77 %","1,74 %","3,12 %","1.363,69 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"31,10",0,"1,00 % a.a","0,15 % a.a","10,00 % a.a"
BTAL11,Imóveis Industriais e Logísticos,"79,91","477.282,48","0,71","0,95","1,17 %","3,43 %","6,90 %","14,78 %","1,14 %","1,15 %","1,23 %","10,73 %","4,64 %","5,87 %","52,51 %","676.928.041,83","113,15","0,71","0,80 %","7,70 %","8,56 %","17,69 %",9,"15,95",38.806,N/A,"1,10 % a.a",N/A
BTCI11,Papéis,"9,25","1.354.656,90","0,93","0,10","1,07 %","3,27 %","6,59 %","13,41 %","1,09 %","1,10 %","1,12 %","10,04 %","2,76 %","3,86 %","38,27 %","996.411.203,94",N/A,N/A,N/A,N/A,N/A,N/A,14,"16,16",192.518,N/A,"0,95 % a.a",N/A
BTCR11,Papéis,"88,00","571.148,00","1,38","0,90","0,98 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,53 %","-5,96 %","-5,04 %","14,54 %","118.155.565,38","95,27","0,92","0,94 %","0,64 %","1,59 %","4,62 %",14,"32,78",8.102,N/A,"1,00 % a.a",N/A
BTHF11,Papéis,"8,63","2.976.165,86","0,86","0,09","1,06 %","3,26 %","6,76 %","12,23 %","1,09 %","1,13 %","1,22 %","10,93 %","6,62 %","7,75 %","29,83 %","2.065.042.961,41",N/A,N/A,N/A,N/A,N/A,N/A,0,"16,63",318.557,N/A,"1,10 % a.a",N/A
BTHI11,Hotéis,"42,00","22.442,29","0,61","0,37","0,86 %","2,91 %","5,90 %","11,81 %","0,97 %","0,98 %","0,98 %","8,70 %","1,01 %","1,88 %","16,26 %","631.969.443,63",N/A,N/A,N/A,N/A,N/A,N/A,14,"32,74",1.436,N/A,"0,80 % a.a","20,00 % a.a"
BTLG11,Imóveis Industriais e Logísticos,"102,51","7.858.527,14","0,98","0,79","0,77 %","2,36 %","4,77 %","10,13 %","0,79 %","0,80 %","0,84 %","7,46 %","5,16 %","5,97 %","29,68 %","4.620.460.237,24","103,87","0,99","0,75 %","5,16 %","5,95 %","11,42 %",21,"14,12",401.755,N/A,"0,90 % a.a",N/A
BTML11,Lajes Corporativas,"101,37",N/A,"0,79","1,00","0,00 %","0,00 %","1,73 %","7,03 %","0,00 %","0,29 %","0,59 %","4,59 %","0,00 %","0,00 %",N/A,"144.755.567,77",N/A,N/A,N/A,N/A,N/A,N/A,2,"2,28",1,N/A,N/A,N/A
BTRA11,Indefinido,"55,69","142.452,86","0,50","0,30","0,56 %","2,89 %","4,75 %","9,58 %","0,96 %","0,79 %","0,80 %","6,38 %","2,46 %","3,04 %","48,43 %","372.011.189,98","110,57","0,50","0,27 %","-20,28 %","-20,06 %","13,82 %",6,"28,20",12.356,N/A,"1,20 % a.a","20,00 % a.a"
BTSG11,Imóveis Industriais e Logísticos,"150,45","150,00","0,99","1,00","0,66 %","0,66 %","1,86 %","5,44 %","0,66 %","0,31 %","0,45 %","3,66 %","0,00 %","0,00 %",N/A,"117.873.618,75","152,09","0,99","0,66 %","10,49 %","11,22 %","22,49 %",1,"15,37",107,N/A,N/A,N/A
BTSI11,Misto,"108,80","109,00","0,93","0,79","0,00 %","0,00 %","2,13 %","6,27 %","0,00 %","0,36 %","0,52 %","3,53 %","0,00 %","0,00 %",N/A,"682.608.193,25",N/A,N/A,N/A,N/A,N/A,N/A,5,"30,85",200,N/A,N/A,N/A
BTWR11,Fundo de Desenvolvimento,"105,49","15,85","0,89","0,60","0,00 %","0,00 %","1,14 %","4,45 %","0,00 %","0,19 %","0,37 %","2,72 %","0,00 %","0,00 %",N/A,"96.156.024,51","118,82","0,89","0,51 %","6,08 %","6,62 %","15,20 %",1,"33,03",140,N/A,N/A,N/A
BTYU11,Incorporações,"9,90","3.067,14","0,98","0,10","0,99 %","3,20 %","7,53 %","14,87 %","1,07 %","1,26 %","1,24 %","11,19 %","0,10 %","1,09 %","8,08 %","301.727.548,43",N/A,N/A,N/A,N/A,N/A,N/A,14,"74,29",488,N/A,"1,25 % a.a","20,00 % a.a"
BZEL11,Misto,N/A,N/A,N/A,"5,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"514.387.256,00",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,3,N/A,N/A,N/A
CACR11,Papéis,"77,68","5.449.823,52","0,83","1,35","1,63 %","4,51 %","8,97 %","18,44 %","1,50 %","1,50 %","1,54 %","13,91 %","-13,56 %","-12,15 %","12,98 %","453.009.441,62","93,67","0,83","1,44 %","-9,52 %","-8,22 %","28,18 %",14,"28,55",24.515,N/A,"1,00 % a.a","20,00 % a.a"
CARE11,Misto,"1,08","8.512,95","0,15","0,01","1,13 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,79 %","-2,63 %","-1,53 %","-2,26 %","249.639.117,47","1,60","0,67","0,10 %","-0,24 %","-0,14 %","3,56 %",14,"41,44",11.700,N/A,"1,55 % a.a","20,00 % a.a"
CBOP11,Lajes Corporativas,"24,21","3.215,62","0,36","0,10","0,40 %","1,28 %","2,51 %","4,58 %","0,43 %","0,42 %","0,38 %","3,95 %","8,00 %","8,43 %","13,18 %","95.663.053,84","67,61","0,36","0,15 %","-8,41 %","-8,28 %","-18,26 %",1,"55,34",2.199,N/A,"0,30 % a.a",N/A
CCME11,Indefinido,"8,84","189.808,33","0,85","0,08","0,94 %","2,88 %","5,83 %","11,95 %","0,96 %","0,97 %","1,00 %","8,97 %","2,89 %","3,85 %","28,86 %","705.622.525,63",N/A,N/A,N/A,N/A,N/A,N/A,1,"30,73",8.150,"1,25 % a.a","0,15 % a.a","20,00 % a.a"
CCRF11,Papéis,"92,50","1.276,82","1,45","3,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","93,23","0,99","3,76 %","-2,86 %","0,79 %","3,55 %",14,"8,06",8.102,N/A,N/A,N/A
CCVA11,Indefinido,"98,97","159.202,27","1,01","0,49","0,00 %","0,00 %","0,47 %","3,92 %","0,00 %","0,47 %","0,33 %","2,29 %","0,00 %","0,00 %",N/A,"60.389.637,46",N/A,N/A,N/A,N/A,N/A,N/A,1,"4,68",1,N/A,N/A,N/A
CDII11,Indefinido,"108,09","3.494.951,43",N/A,"1,61","1,50 %","4,39 %","8,11 %","15,55 %","1,46 %","1,35 %","1,30 %","11,75 %","2,44 %","3,97 %","26,61 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"14,48",0,N/A,"1,00 % a.a",N/A
CEOC11,Lajes Corporativas,"44,50","19.855,48","0,61","0,51","1,14 %","3,39 %","7,04 %","14,70 %","1,13 %","1,17 %","1,23 %","10,83 %","6,80 %","8,01 %","41,76 %","131.997.815,57","72,70","0,61","0,65 %","-7,74 %","-7,14 %","-15,31 %",1,"19,91",3.971,N/A,"0,20 % a.a",N/A
CFHI11,Fundo de Desenvolvimento,"250,10","250,00","1,01","65,00","0,00 %","0,00 %","21,79 %","23,53 %","0,00 %","3,63 %","2,14 %","23,53 %","0,00 %","0,00 %",N/A,"23.335.178,20",N/A,N/A,N/A,N/A,N/A,N/A,7,"392,47",102,N/A,N/A,N/A
CFII11,Indefinido,"530,01","1.060,00","0,60","105,00","0,00 %","0,00 %","4,09 %","13,43 %","0,00 %","0,68 %","1,49 %","13,43 %","0,00 %","0,00 %",N/A,"111.022.766,47",N/A,N/A,N/A,N/A,N/A,N/A,5,"110,35",112,N/A,N/A,N/A
CIXM11,Misto,"9,04","220.499,50","0,23","0,15","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"237.257.404,04",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,108,N/A,N/A,N/A
CJCT11,Lajes Corporativas,"61,30","15.415,82","0,84","0,20","0,00 %","0,88 %","1,84 %","3,28 %","0,88 %","0,31 %","0,27 %","2,77 %","0,00 %","0,00 %",N/A,"229.187.147,31","57,90","1,06","0,00 %","0,58 %","0,58 %","0,58 %",1,"34,86",866,N/A,N/A,N/A
CLIN11,Fundo de Fundos,"87,79","816.332,48","0,90","1,00","1,12 %","3,47 %","7,46 %","15,05 %","1,16 %","1,24 %","1,25 %","11,46 %","0,52 %","1,65 %","30,72 %","422.597.956,08",N/A,N/A,N/A,N/A,N/A,N/A,14,"18,88",12.317,N/A,"1,05 % a.a",N/A
CNES11,Lajes Corporativas,"1,53","155.763,52","0,20","0,01","0,64 %","1,58 %","3,45 %","7,70 %","0,53 %","0,58 %","0,64 %","5,22 %","3,39 %","4,05 %","27,24 %","258.261.005,11","7,57","0,20","0,10 %","-91,54 %","-91,53 %","-91,16 %",1,"45,84",88.422,N/A,"0,30 % a.a",N/A
COPP11,Lajes Corporativas,"103,00","1.827.632,00","0,95","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"516.826.279,02",N/A,N/A,N/A,N/A,N/A,N/A,4,"17,75",126,N/A,N/A,N/A
CORM11,Lajes Corporativas,N/A,N/A,N/A,"0,77","0,90 %","2,76 %","5,35 %","11,38 %","0,92 %","0,89 %","0,95 %","6,20 %","-2,97 %","-2,10 %","-4,27 %",N/A,"90,56",N/A,"0,89 %","-2,33 %","-1,45 %","0,21 %",0,N/A,0,N/A,N/A,N/A
CPFO11,Fundo de Fundos,N/A,N/A,N/A,"31,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,8.102,N/A,N/A,N/A
